PLACES,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
ALBIANO D'IVREA, 37, 38, 38, 38, 38, 38, 38, 39, 39, 39, 40, 40, 41, 41, 41, 41, 42, 42, 42, 42, 41, 42, 42, 42, 43, 43, 43, 43, 43, 43, 41, 42, 42, 42, 43, 43
ALBIANO, 32, 31, 32, 32, 32, 33, 34, 34, 34, 34, 35, 35, 35, 36, 36, 37, 37, 37, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 40, 37, 38, 38, 38, 39, 39
ALBIDONA, 31, 31, 31, 32, 32, 33, 33, 33, 34, 34, 35, 36, 36, 36, 36, 37, 37, 38, 39, 39, 39, 40, 40, 40, 41, 42, 42, 43, 44, 45, 39, 39, 40, 40, 41, 42
ALBIGNASEGO, 31, 31, 31, 32, 32, 33, 33, 33, 34, 34, 34, 35, 35, 36, 36, 37, 37, 38, 38, 38, 39, 39, 40, 40, 40, 40, 40, 40, 40, 40, 39, 39, 40, 40, 40, 40
ALBINEA, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 41, 41, 41, 41, 41, 41, 41, 42, 42, 40, 40, 40, 41, 41, 41
ALBINO, 34, 34, 35, 35, 35, 35, 35, 36, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 39, 39, 39, 39, 39, 40
ALBIOLO, 35, 35, 35, 34, 34, 34, 35, 35, 35, 35, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 37, 37, 37, 37, 37, 37, 37, 37, 38, 36, 37, 37, 37, 37, 37
ALBISOLA SUPERIORE, 38, 39, 39, 38, 38, 39, 40, 40, 40, 41, 42, 42, 42, 42, 43, 43, 44, 44, 44, 45, 45, 45, 45, 45, 46, 46, 46, 46, 46, 47, 45, 45, 45, 45, 46, 46
ALBISSOLA MARINA, 39, 39, 40, 40, 40, 40, 41, 41, 41, 42, 42, 42, 43, 43, 43, 44, 44, 44, 45, 44, 45, 44, 45, 45, 45, 45, 46, 46, 46, 46, 44, 45, 45, 45, 45, 45
ALBIZZATE, 34, 34, 34, 35, 35, 35, 36, 36, 36, 36, 37, 37, 38, 38, 38, 39, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 41, 41, 41, 41, 40, 40, 41, 41, 41, 41
ALBI, 35, 35, 35, 36, 35, 35, 35, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 40, 40, 41, 42, 42, 39, 39, 39, 40, 40, 40
ALBONESE, 42, 41, 41, 40, 39, 37, 38, 39, 38, 41, 41, 40, 41, 41, 40, 39, 40, 40, 40, 41, 41, 41, 41, 41, 42, 42, 42, 43, 44, 45, 41, 41, 41, 42, 44, 43
ALBOSAGGIA, 36, 36, 37, 37, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 40, 41, 41, 41, 42, 42, 42, 41, 42, 42, 43, 43, 43, 44, 44, 42, 42, 42, 42, 42, 43
ALBUGNANO, 46, 45, 43, 43, 43, 43, 43, 42, 42, 43, 45, 45, 47, 46, 46, 44, 44, 43, 43, 42, 41, 43, 42, 42, 43, 41, 41, 41, 43, 43, 41, 42, 41, 41, 42, 42
ALBUZZANO, 37, 38, 38, 38, 38, 38, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 39, 39, 39, 39, 38, 38, 38, 39, 40, 40, 39, 39, 39, 39
ALCAMO, 34, 34, 35, 35, 35, 35, 35, 36, 36, 36, 37, 37, 37, 37, 37, 37, 37, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 40, 40, 40, 38, 38, 38, 39, 39, 39
ALCARA LI FUSI, 36, 36, 37, 37, 37, 38, 38, 39, 39, 40, 40, 41, 41, 41, 42, 42, 42, 42, 43, 43, 43, 43, 44, 44, 44, 45, 45, 45, 46, 47, 43, 43, 44, 44, 44, 44
ALDENO, 33, 33, 34, 34, 35, 34, 35, 35, 35, 35, 36, 36, 36, 36, 37, 37, 37, 37, 37, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 37, 37, 37, 38, 38, 38
ALDINO, 30, 30, 30, 30, 30, 30, 31, 31, 31, 32, 33, 34, 34, 34, 35, 35, 35, 35, 35, 35, 34, 35, 35, 35, 35, 35, 36, 36, 37, 37, 34, 34, 35, 35, 35, 35
ALESSANDRIA DEL CARRETTO, 37, 38, 38, 39, 39, 38, 39, 40, 41, 42, 42, 43, 44, 45, 45, 46, 47, 47, 48, 48, 49, 49, 49, 49, 49, 51, 50, 51, 52, 51, 49, 49, 49, 49, 50, 51
ALESSANDRIA DELLA ROCCA, 36, 36, 36, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 40, 40, 41, 42, 42, 42, 43, 43, 43, 44, 44, 44, 44, 44, 42, 42, 43, 43, 43, 43
ALESSANDRIA, 38, 38, 38, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 41, 42, 42, 42, 42, 43, 43, 43, 43, 43, 43, 43, 44, 43, 43, 44, 44, 43, 43, 44, 44, 43, 43
ALESSANO, 31, 31, 31, 32, 32, 32, 33, 33, 34, 34, 35, 36, 36, 36, 36, 37, 37, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 40, 40, 38, 38, 38, 38, 39, 39
ALES, 35, 34, 35, 35, 36, 35, 35, 36, 37, 37, 37, 37, 37, 38, 38, 39, 39, 39, 39, 40, 41, 41, 41, 42, 42, 43, 43, 43, 44, 44, 40, 41, 41, 42, 42, 43
ALEZIO, 35, 35, 35, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 40, 40, 40, 41, 41, 41, 40, 41, 41, 41, 40, 40, 40, 41, 41, 41
ALFANO, 30, 30, 30, 30, 30, 31, 31, 31, 32, 32, 33, 33, 33, 34, 34, 35, 35, 35, 36, 36, 37, 38, 39, 39, 40, 40, 40, 41, 42, 42, 37, 38, 39, 40, 40, 40
ALFEDENA, 38, 39, 38, 38, 38, 38, 39, 38, 38, 38, 39, 39, 38, 39, 40, 39, 40, 40, 41, 41, 41, 41, 41, 42, 42, 42, 42, 41, 42, 42, 41, 41, 41, 41, 41, 41
ALFIANELLO, 34, 34, 34, 34, 34, 34, 35, 35, 35, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 40, 40, 41, 41, 41, 41, 41, 39, 39, 39, 40, 40, 41
ALFIANO NATTA, 48, 48, 49, 48, 48, 48, 47, 47, 48, 48, 48, 49, 48, 48, 48, 47, 47, 47, 48, 48, 47, 47, 46, 46, 46, 46, 47, 45, 46, 46, 47, 46, 47, 46, 46, 46
ALFONSINE, 39, 39, 40, 40, 40, 41, 41, 41, 42, 42, 42, 43, 43, 44, 44, 44, 44, 44, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45
ALGHERO, 32, 32, 32, 33, 33, 33, 34, 34, 35, 35, 35, 36, 36, 36, 37, 37, 38, 38, 39, 39, 40, 40, 40, 41, 41, 41, 42, 42, 43, 43, 40, 40, 40, 40, 41, 41
ALGUA, 32, 33, 33, 32, 32, 34, 33, 34, 34, 34, 36, 37, 36, 37, 37, 37, 38, 38, 38, 38, 39, 40, 40, 40, 40, 42, 43, 43, 43, 43, 39, 40, 40, 40, 40, 41
ALIANO, 37, 37, 38, 38, 38, 38, 40, 39, 40, 40, 41, 41, 41, 41, 42, 43, 43, 43, 44, 44, 44, 44, 44, 44, 46, 46, 46, 46, 47, 48, 44, 44, 44, 45, 45, 46
ALIA, 37, 37, 37, 38, 38, 38, 39, 39, 40, 40, 41, 41, 41, 41, 41, 42, 42, 42, 42, 43, 43, 43, 43, 44, 44, 44, 44, 45, 45, 45, 43, 43, 43, 43, 44, 44
ALICE BEL COLLE, 44, 45, 45, 45, 45, 46, 46, 46, 46, 46, 47, 46, 46, 45, 46, 46, 46, 46, 47, 47, 48, 48, 47, 46, 45, 45, 45, 45, 46, 46, 47, 48, 47, 47, 46, 46
ALICE CASTELLO, 39, 38, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 41, 42, 42, 42, 41, 42, 42, 42, 42, 42, 41, 41, 41, 41, 41, 41
ALICE SUPERIORE, 40, 40, 41, 41, 41, 42, 42, 41, 42, 42, 42, 44, 44, 44, 44, 45, 45, 45, 45, 43, 43, 43, 45, 44, 45, 44, 44, 45, 45, 45, 44, 44, 45, 44, 45, 44
ALIFE, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 35, 35, 35, 35, 35, 35, 35, 36, 36, 36, 36, 36, 37, 37, 38, 37, 38, 38, 38, 39, 37, 37, 37, 37, 38, 38
ALIMENA, 37, 37, 37, 37, 38, 38, 38, 38, 39, 39, 40, 40, 40, 40, 40, 40, 42, 42, 43, 44, 44, 44, 44, 44, 45, 45, 45, 46, 46, 46, 43, 44, 44, 44, 45, 46
ALIMINUSA, 37, 37, 37, 37, 38, 38, 38, 39, 39, 40, 40, 41, 41, 41, 41, 41, 41, 41, 42, 42, 42, 42, 42, 43, 43, 43, 43, 44, 44, 44, 40, 40, 41, 42, 42, 43
ALLAI, 36, 36, 37, 37, 37, 38, 37, 37, 38, 39, 40, 40, 40, 41, 39, 40, 40, 41, 41, 41, 41, 42, 42, 41, 42, 43, 44, 44, 43, 44, 41, 42, 42, 41, 42, 43
ALLEGHE, 35, 36, 36, 37, 36, 37, 37, 37, 38, 39, 40, 40, 41, 41, 41, 42, 42, 42, 43, 43, 42, 43, 43, 44, 44, 44, 45, 45, 45, 45, 42, 43, 43, 44, 44, 44
ALLEIN, 43, 44, 45, 45, 43, 43, 44, 45, 44, 44, 44, 43, 45, 46, 46, 45, 46, 46, 45, 44, 44, 45, 45, 47, 46, 46, 45, 45, 45, 44, 44, 46, 46, 47, 45, 46
ALLERONA, 38, 38, 39, 38, 39, 39, 39, 39, 40, 40, 41, 41, 41, 41, 42, 42, 42, 42, 42, 43, 43, 43, 43, 43, 43, 44, 44, 44, 45, 45, 43, 43, 43, 43, 43, 44
ALLISTE, 32, 32, 32, 33, 33, 33, 34, 34, 35, 35, 36, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 39, 39, 40, 40, 40, 39, 39, 39, 39, 39, 39
ALLUMIERE, 35, 36, 36, 36, 36, 36, 36, 37, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 39, 40, 40, 41, 41, 41, 41, 41, 41, 41, 39, 40, 40, 40, 41, 41
ALLUVIONI CAMBIÒ, 42, 42, 42, 41, 41, 42, 42, 42, 42, 42, 42, 43, 43, 42, 42, 43, 42, 42, 42, 42, 43, 43, 43, 44, 45, 45, 45, 45, 45, 44, 43, 43, 43, 44, 45, 45
ALMENNO SAN BARTOLOMEO, 33, 33, 33, 33, 33, 33, 34, 34, 34, 34, 34, 34, 35, 35, 35, 35, 35, 35, 36, 36, 36, 36, 36, 36, 36, 37, 37, 37, 37, 38, 36, 36, 36, 36, 37, 37
ALMENNO SAN SALVATORE, 31, 32, 32, 32, 32, 33, 33, 33, 33, 34, 34, 34, 35, 35, 35, 36, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 40, 40, 37, 38, 38, 38, 39, 39
ALMESE, 37, 37, 37, 37, 38, 38, 38, 38, 38, 38, 39, 39, 39, 39, 40, 40, 40, 40, 40, 41, 41, 41, 41, 41, 41, 41, 41, 41, 42, 42, 40, 41, 41, 41, 41, 41
ALMÈ, 30, 30, 30, 31, 31, 32, 32, 32, 33, 33, 34, 34, 34, 35, 35, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 40, 40, 40, 40, 41, 38, 38, 38, 39, 39, 39
ALONTE, 33, 33, 34, 34, 33, 33, 34, 34, 33, 34, 35, 36, 36, 35, 35, 35, 35, 36, 36, 36, 35, 35, 35, 35, 35, 36, 36, 36, 36, 37, 35, 35, 35, 35, 35, 36
ALPETTE, 41, 42, 44, 45, 43, 44, 44, 46, 47, 47, 45, 46, 46, 46, 47, 47, 47, 47, 46, 47, 48, 48, 49, 48, 49, 51, 49, 48, 47, 48, 48, 48, 48, 48, 49, 51
ALPIGNANO, 34, 34, 34, 34, 34, 34, 35, 35, 35, 36, 36, 36, 37, 37, 38, 38, 38, 39, 39, 40, 40, 41, 41, 41, 41, 42, 42, 42, 43, 43, 40, 40, 41, 41, 41, 42
ALSENO, 38, 38, 38, 38, 39, 39, 39, 39, 40, 40, 40, 41, 41, 41, 42, 42, 42, 41, 42, 42, 42, 42, 42, 42, 43, 43, 43, 43, 43, 43, 42, 42, 42, 42, 42, 43
ALSERIO, 30, 31, 31, 31, 30, 31, 31, 31, 31, 32, 33, 33, 33, 34, 34, 34, 35, 35, 35, 35, 35, 36, 37, 37, 37, 37, 37, 37, 37, 38, 35, 36, 36, 37, 37, 37
ALTAMURA, 29, 29, 29, 30, 30, 30, 30, 30, 30, 30, 31, 31, 31, 32, 32, 32, 32, 32, 33, 33, 33, 33, 34, 34, 34, 34, 35, 35, 35, 36, 33, 33, 34, 34, 34, 34
ALTARE, 43, 43, 43, 43, 43, 44, 44, 44, 45, 45, 45, 45, 45, 45, 45, 46, 46, 46, 46, 47, 46, 47, 47, 47, 47, 47, 48, 48, 48, 47, 46, 47, 47, 47, 47, 47
ALTAVILLA IRPINA, 33, 33, 33, 33, 34, 34, 35, 35, 35, 35, 36, 37, 37, 37, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 39, 39, 40, 40, 38, 39, 37, 38, 38, 38
ALTAVILLA MILICIA, 32, 32, 32, 33, 33, 33, 33, 33, 33, 34, 34, 34, 34, 34, 34, 34, 35, 35, 36, 37, 37, 37, 37, 38, 38, 38, 38, 38, 38, 39, 37, 38, 38, 36, 36, 37
ALTAVILLA MONFERRATO, 48, 47, 48, 48, 47, 47, 48, 47, 47, 48, 48, 47, 47, 46, 46, 46, 46, 47, 47, 46, 45, 45, 46, 43, 44, 45, 45, 45, 46, 46, 45, 45, 45, 44, 45, 45
ALTAVILLA SILENTINA, 34, 34, 34, 35, 35, 35, 35, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 41, 41, 41, 40, 40, 40, 40, 41, 41
ALTAVILLA VICENTINA, 31, 31, 31, 32, 32, 32, 33, 33, 33, 33, 34, 34, 34, 35, 35, 35, 35, 35, 36, 36, 36, 37, 37, 37, 37, 37, 37, 38, 38, 38, 36, 37, 37, 37, 37, 37
ALTILIA, 31, 31, 32, 33, 32, 33, 32, 33, 33, 33, 34, 34, 35, 34, 34, 35, 35, 35, 36, 36, 37, 37, 37, 38, 39, 39, 40, 41, 41, 41, 37, 37, 37, 38, 38, 39
ALTINO, 37, 37, 38, 38, 38, 39, 38, 39, 39, 40, 40, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 40, 41, 41, 41, 41, 41, 41, 41, 41, 40, 40, 40, 41, 41, 41
ALTISSIMO, 34, 34, 35, 35, 35, 35, 35, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 37, 37, 38, 38, 38, 36, 36, 36, 36, 36, 37
ALTIVOLE, 32, 32, 32, 32, 32, 32, 33, 33, 33, 34, 34, 34, 34, 35, 35, 35, 35, 35, 36, 36, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 36, 36, 36, 36, 37, 37
ALTOFONTE, 32, 32, 32, 33, 33, 33, 33, 33, 33, 33, 34, 34, 34, 34, 34, 34, 34, 35, 35, 35, 36, 36, 36, 37, 37, 37, 37, 37, 38, 38, 36, 36, 36, 37, 37, 37
ALTOMONTE, 32, 32, 32, 33, 33, 33, 34, 34, 34, 34, 35, 35, 35, 35, 36, 36, 36, 37, 37, 37, 37, 38, 38, 39, 39, 39, 40, 40, 40, 41, 38, 38, 38, 38, 39, 39
ALTOPASCIO, 37, 37, 37, 38, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 39, 39, 39, 39, 40, 40, 40, 40, 39, 39
ALTO, 53, 57, 57, 57, 56, 57, 56, 56, 55, 53, 51, 50, 51, 49, 50, 48, 51, 52, 55, 54, 55, 53, 53, 53, 52, 50, 48, 49, 48, 47, 55, 54, 52, 51, 50, 50
ALVIANO, 37, 38, 38, 38, 39, 39, 39, 39, 40, 40, 41, 40, 41, 40, 41, 41, 41, 41, 42, 42, 42, 42, 42, 42, 42, 42, 43, 43, 43, 44, 41, 42, 42, 42, 42, 42
ALVIGNANO, 35, 34, 35, 34, 35, 35, 35, 36, 36, 36, 37, 37, 37, 37, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 40, 39, 39, 40, 39, 38, 38, 39, 39, 39, 40
ALVITO, 40, 40, 40, 40, 40, 40, 41, 41, 41, 41, 42, 42, 42, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 44, 44, 44, 44, 44, 43, 43, 44, 43, 44, 44
ALZANO LOMBARDO, 33, 33, 34, 34, 35, 35, 35, 36, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 39, 39, 39, 39, 39, 39
ALZANO SCRIVIA, 40, 39, 38, 38, 39, 40, 39, 39, 38, 38, 42, 43, 42, 42, 43, 43, 44, 44, 43, 42, 42, 42, 43, 44, 44, 44, 43, 43, 43, 44, 42, 43, 42, 43, 43, 43
ALZATE BRIANZA, 32, 32, 32, 33, 33, 33, 34, 34, 35, 35, 35, 36, 36, 36, 37, 37, 37, 38, 37, 38, 38, 38, 38, 38, 38, 38, 38, 39, 39, 39, 38, 38, 38, 38, 38, 38
ALÌ TERME, 35, 36, 35, 36, 36, 36, 36, 36, 36, 37, 37, 37, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 40, 40, 40, 40, 41, 41, 41, 39, 39, 39, 40, 40, 40
ALÌ, 37, 38, 38, 38, 39, 38, 39, 39, 38, 39, 40, 40, 39, 39, 39, 39, 39, 40, 40, 41, 42, 42, 42, 42, 42, 42, 42, 42, 43, 43, 42, 41, 42, 42, 42, 42
AMALFI, 33, 33, 34, 34, 34, 34, 35, 35, 35, 36, 36, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 40, 40, 41, 41, 41, 42, 42, 42, 39, 39, 40, 40, 41, 41
AMANTEA, 32, 32, 32, 32, 32, 33, 33, 33, 34, 34, 34, 35, 35, 35, 35, 35, 36, 36, 36, 37, 37, 38, 38, 38, 39, 39, 39, 40, 40, 40, 37, 38, 38, 38, 39, 39
AMARONI, 32, 32, 32, 33, 33, 33, 33, 33, 34, 34, 35, 35, 35, 35, 36, 36, 37, 38, 39, 39, 40, 39, 40, 40, 41, 41, 42, 41, 42, 42, 40, 39, 40, 40, 40, 41
AMARO, 40, 41, 41, 41, 41, 41, 41, 40, 41, 40, 41, 41, 41, 41, 42, 42, 43, 42, 42, 42, 42, 42, 43, 41, 41, 41, 41, 42, 42, 42, 42, 42, 42, 41, 41, 41
AMASENO, 35, 35, 35, 35, 36, 36, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 41, 41, 39, 39, 40, 40, 40, 40
AMATO, 33, 35, 35, 35, 35, 36, 37, 37, 38, 38, 39, 40, 39, 39, 39, 39, 39, 39, 38, 39, 40, 39, 40, 40, 40, 41, 41, 42, 42, 43, 41, 39, 40, 40, 40, 40
AMATRICE, 41, 41, 42, 42, 42, 42, 42, 42, 43, 43, 44, 44, 44, 45, 45, 45, 45, 45, 45, 46, 46, 46, 47, 47, 48, 48, 48, 48, 48, 48, 46, 46, 46, 47, 47, 48
AMBIVERE, 31, 32, 32, 32, 32, 32, 33, 33, 34, 34, 35, 35, 35, 36, 36, 37, 37, 37, 37, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 40, 37, 37, 38, 38, 38, 38
AMBLAR, 35, 33, 33, 32, 34, 34, 33, 35, 34, 35, 36, 36, 36, 37, 38, 38, 38, 40, 40, 40, 41, 41, 41, 42, 43, 45, 45, 45, 45, 45, 40, 41, 42, 43, 43, 44
AMEGLIA, 36, 37, 37, 38, 38, 39, 40, 40, 41, 41, 41, 42, 42, 42, 43, 43, 43, 44, 44, 44, 44, 44, 44, 45, 45, 45, 46, 46, 46, 46, 44, 44, 44, 45, 45, 45
AMELIA, 38, 38, 38, 38, 38, 39, 39, 39, 40, 40, 40, 41, 41, 41, 42, 42, 42, 43, 43, 43, 43, 43, 43, 43, 44, 44, 44, 44, 44, 44, 43, 43, 43, 43, 43, 44
AMENDOLARA, 31, 31, 31, 32, 32, 32, 33, 33, 34, 34, 35, 35, 35, 36, 37, 37, 37, 38, 38, 39, 40, 40, 41, 41, 41, 41, 41, 42, 42, 42, 40, 40, 41, 41, 41, 41
AMENO, 40, 40, 40, 40, 40, 41, 42, 42, 42, 41, 42, 41, 42, 42, 43, 44, 44, 44, 45, 45, 45, 46, 45, 45, 45, 46, 46, 46, 46, 48, 45, 45, 45, 45, 45, 46
AMOROSI, 35, 35, 35, 35, 36, 35, 36, 36, 36, 37, 37, 38, 38, 37, 38, 38, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 41, 41, 41, 41, 39, 39, 40, 40, 40, 40
AMPEZZO, 37, 37, 37, 37, 37, 38, 38, 38, 38, 39, 40, 40, 40, 41, 42, 42, 42, 43, 43, 44, 44, 45, 44, 45, 45, 45, 46, 46, 46, 47, 44, 45, 45, 45, 46, 46
ANACAPRI, 32, 32, 32, 32, 33, 33, 33, 34, 34, 34, 35, 35, 35, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 39, 40, 40, 38, 38, 38, 39, 39, 39
ANAGNI, 33, 33, 33, 33, 34, 34, 34, 35, 35, 35, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 40, 40, 40, 40, 40, 41, 39, 39, 39, 39, 40, 40
ANCARANO, 36, 36, 36, 35, 36, 36, 36, 37, 37, 37, 37, 37, 37, 37, 38, 39, 39, 40, 40, 41, 41, 41, 41, 41, 41, 41, 41, 42, 41, 42, 41, 41, 41, 41, 41, 42
ANCONA, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 41, 42, 42, 42, 42, 42, 42, 42, 43, 43, 43, 43, 43, 42, 42, 42, 42, 42, 43
ANDALI, 34, 34, 35, 35, 35, 36, 36, 37, 37, 38, 38, 39, 39, 40, 41, 41, 42, 42, 43, 43, 43, 43, 43, 43, 44, 45, 45, 46, 47, 47, 43, 43, 44, 44, 44, 45
ANDALO VALTELLINO, 39, 38, 37, 38, 36, 37, 37, 35, 36, 35, 37, 38, 39, 39, 39, 39, 40, 40, 40, 39, 39, 39, 39, 39, 40, 40, 40, 41, 42, 43, 39, 39, 39, 39, 40, 40
ANDALO, 34, 33, 33, 33, 33, 33, 34, 34, 34, 36, 36, 36, 36, 37, 37, 37, 38, 37, 37, 38, 38, 38, 39, 39, 39, 39, 39, 40, 40, 40, 38, 38, 39, 39, 39, 40
ANDEZENO, 34, 35, 36, 36, 37, 37, 37, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 40, 41, 40, 41, 41, 41, 39, 40, 40, 40, 40, 40
ANDORA, 38, 38, 38, 38, 39, 39, 39, 39, 40, 40, 41, 41, 41, 41, 42, 42, 43, 43, 43, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44
ANDORNO MICCA, 37, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 41, 41, 41, 42, 42, 42, 43, 43, 43, 43, 43, 44, 41, 42, 42, 42, 43, 43
ANDRANO, 31, 32, 32, 32, 32, 33, 33, 33, 34, 34, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 40, 40, 40, 41, 41, 42, 38, 38, 39, 39, 40, 40
ANDRATE, 42, 43, 43, 43, 43, 44, 45, 45, 45, 46, 44, 45, 45, 45, 46, 46, 45, 45, 44, 44, 44, 44, 44, 43, 44, 44, 43, 43, 44, 43, 45, 44, 44, 43, 44, 44
ANDREIS, 48, 49, 49, 49, 50, 51, 50, 50, 50, 49, 50, 51, 51, 51, 50, 49, 50, 50, 50, 50, 52, 52, 52, 52, 53, 52, 52, 50, 50, 49, 52, 51, 51, 51, 52, 51
ANDRETTA, 38, 38, 38, 39, 38, 38, 38, 38, 39, 39, 40, 40, 41, 41, 42, 42, 42, 42, 42, 43, 42, 42, 43, 43, 43, 43, 44, 44, 44, 44, 42, 43, 43, 43, 43, 43
ANDRIANO, 32, 31, 32, 32, 31, 32, 32, 31, 32, 33, 33, 33, 33, 33, 33, 34, 34, 35, 35, 36, 36, 37, 37, 36, 36, 36, 36, 37, 37, 37, 36, 36, 37, 36, 36, 36
ANELA, 39, 40, 40, 40, 40, 40, 40, 40, 41, 41, 42, 41, 41, 41, 42, 41, 42, 43, 42, 42, 43, 43, 43, 43, 44, 44, 45, 45, 46, 46, 43, 43, 44, 43, 44, 45
ANFO, 35, 34, 34, 35, 36, 36, 35, 37, 37, 37, 39, 39, 39, 40, 41, 42, 43, 43, 42, 43, 44, 43, 42, 43, 43, 43, 44, 44, 44, 45, 44, 44, 43, 44, 44, 44
ANGERA, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 41, 42, 41, 42, 42, 42, 43, 43, 43, 44, 41, 41, 42, 42, 42, 42
ANGHIARI, 39, 39, 40, 40, 40, 40, 40, 41, 41, 41, 42, 42, 42, 42, 43, 43, 43, 43, 43, 43, 43, 43, 43, 44, 44, 44, 45, 45, 45, 45, 43, 43, 43, 44, 44, 44
ANGIARI, 37, 37, 37, 37, 37, 38, 38, 38, 39, 40, 40, 40, 40, 41, 41, 41, 41, 41, 41, 41, 42, 42, 42, 42, 43, 43, 42, 43, 42, 42, 42, 42, 42, 43, 43, 43
ANGOLO TERME, 33, 33, 34, 33, 33, 34, 34, 35, 36, 36, 37, 37, 37, 37, 38, 39, 39, 40, 40, 40, 40, 40, 40, 40, 41, 41, 41, 42, 42, 43, 40, 40, 40, 40, 41, 41
ANGRI, 29, 29, 29, 29, 29, 30, 30, 30, 31, 31, 31, 32, 32, 32, 32, 33, 33, 33, 33, 34, 34, 34, 35, 35, 35, 35, 35, 36, 36, 36, 34, 34, 35, 35, 35, 35
ANGROGNA, 42, 44, 44, 43, 45, 46, 45, 46, 46, 46, 45, 44, 44, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 44, 44, 45, 45, 44, 44, 45, 45, 45, 45, 45, 45, 45
ANGUILLARA SABAZIA, 30, 30, 31, 31, 31, 32, 32, 33, 33, 33, 34, 34, 34, 35, 35, 35, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 38, 38, 39, 39, 37, 37, 37, 38, 38, 38
